#SampleID	Cow_ID	Class	TRT	Class_TRT	Site	Cycling	P4	OBS
JM241	Cow_10054	METRITIS	NO_TRT	METRITIS_NO_TRT	External	0	0.001	GOOD
JM242	Cow_10054	METRITIS	NO_TRT	METRITIS_NO_TRT	Gravid_horn	0	0.001	GOOD
JM243	Cow_10054	METRITIS	NO_TRT	METRITIS_NO_TRT	Non-Gravid_horn	0	0.001	GOOD
JM244	Cow_10059	HEALTHY	EXCENEL	HEALTHY_EXCENEL	D7	1	0.894090759	GOOD
JM245	Cow_10059	HEALTHY	EXCENEL	HEALTHY_EXCENEL	External	1	0.894090759	GOOD
JM246	Cow_10059	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Gravid_horn	1	0.894090759	GOOD
JM247	Cow_10059	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Non-Gravid_horn	1	0.894090759	GOOD
JM216	Cow_10099	METRITIS	EXCENEL	METRITIS_EXCENEL	D7	0	0.001	PUS
JM217	Cow_10099	METRITIS	EXCENEL	METRITIS_EXCENEL	External	0	0.001	PUS
JM218	Cow_10099	METRITIS	EXCENEL	METRITIS_EXCENEL	Gravid_horn	0	0.001	PUS
JM219	Cow_10099	METRITIS	EXCENEL	METRITIS_EXCENEL	Non-Gravid_horn	0	0.001	PUS
JM200	Cow_10102	HEALTHY	EXCENEL	HEALTHY_EXCENEL	D7	0	0.001	GOOD
JM201	Cow_10102	HEALTHY	EXCENEL	HEALTHY_EXCENEL	External	0	0.001	GOOD
JM202	Cow_10102	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Gravid_horn	0	0.001	GOOD
JM203	Cow_10102	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Non-Gravid_horn	0	0.001	GOOD
JM256	Cow_10107	METRITIS	EXCENEL	METRITIS_EXCENEL	D7	0	0.001	PUS
JM257	Cow_10107	METRITIS	EXCENEL	METRITIS_EXCENEL	External	0	0.001	PUS
JM258	Cow_10107	METRITIS	EXCENEL	METRITIS_EXCENEL	Gravid_horn	0	0.001	PUS
JM259	Cow_10107	METRITIS	EXCENEL	METRITIS_EXCENEL	Non-Gravid_horn	0	0.001	PUS
JM192	Cow_10133	HEALTHY	NO_TRT	HEALTHY_NO_TRT	D7	0	0.001	GOOD
JM193	Cow_10133	HEALTHY	NO_TRT	HEALTHY_NO_TRT	External	0	0.001	GOOD
JM194	Cow_10133	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Gravid_horn	0	0.001	GOOD
JM195	Cow_10133	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Non-Gravid_horn	0	0.001	GOOD
JM248	Cow_10153	HEALTHY	EXCENEL	HEALTHY_EXCENEL	D7	0	0.001	PUS
JM249	Cow_10153	HEALTHY	EXCENEL	HEALTHY_EXCENEL	External	0	0.001	PUS
JM250	Cow_10153	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Gravid_horn	0	0.001	PUS
JM251	Cow_10153	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Non-Gravid_horn	0	0.001	PUS
JM228	Cow_10163	METRITIS	EXCENEL	METRITIS_EXCENEL	D7	0	0.001	PUS
JM229	Cow_10163	METRITIS	EXCENEL	METRITIS_EXCENEL	External	0	0.001	PUS
JM230	Cow_10163	METRITIS	EXCENEL	METRITIS_EXCENEL	Gravid_horn	0	0.001	PUS
JM231	Cow_10163	METRITIS	EXCENEL	METRITIS_EXCENEL	Non-Gravid_horn	0	0.001	PUS
JM252	Cow_10178	HEALTHY	NO_TRT	HEALTHY_NO_TRT	D7	0	0.001	PUS
JM253	Cow_10178	HEALTHY	NO_TRT	HEALTHY_NO_TRT	External	0	0.001	PUS
JM254	Cow_10178	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Gravid_horn	0	0.001	PUS
JM255	Cow_10178	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Non-Gravid_horn	0	0.001	PUS
JM264	Cow_10179	METRITIS	EXCENEL	METRITIS_EXCENEL	D7	0	0.021856688	METRITIS
JM265	Cow_10179	METRITIS	EXCENEL	METRITIS_EXCENEL	External	0	0.021856688	METRITIS
JM266	Cow_10179	METRITIS	EXCENEL	METRITIS_EXCENEL	Gravid_horn	0	0.021856688	METRITIS
JM267	Cow_10179	METRITIS	EXCENEL	METRITIS_EXCENEL	Non-Gravid_horn	0	0.021856688	METRITIS
JM224	Cow_10227	METRITIS	NO_TRT	METRITIS_NO_TRT	D7	0	0.001	GOOD
JM225	Cow_10227	METRITIS	NO_TRT	METRITIS_NO_TRT	External	0	0.001	GOOD
JM226	Cow_10227	METRITIS	NO_TRT	METRITIS_NO_TRT	Gravid_horn	0	0.001	GOOD
JM227	Cow_10227	METRITIS	NO_TRT	METRITIS_NO_TRT	Non-Gravid_horn	0	0.001	GOOD
